Year,District,Crop,Season,Area_Hectares,Production_Tonnes,Productivity_Tonnes_per_Hectare,Sowing_Period,Harvest_Period,Weather_Impact_Factor,Category
2014,Idukki,Cardamom,Whole Year,86536.95,14772.75,0.171,May-June,October-December,1.0,Spice
2014,Wayanad,Cardamom,Whole Year,8144.56,1646.4,0.202,May-June,October-December,1.0,Spice
2014,Palakkad,Cardamom,Whole Year,1996.42,404.34,0.203,May-June,October-December,1.0,Spice
2014,Wayanad,Ginger,Whole Year,3041.54,40519.16,13.322,April-May,December-January,1.0,Spice
2014,Kozhikode,Ginger,Whole Year,3013.06,36762.29,12.201,April-May,December-January,1.0,Spice
2014,Palakkad,Ginger,Whole Year,2812.85,29569.86,10.512,April-May,December-January,1.0,Spice
2014,Malappuram,Ginger,Whole Year,2472.54,31789.74,12.857,April-May,December-January,1.0,Spice
2014,Idukki,Ginger,Whole Year,2147.79,25734.23,11.982,April-May,December-January,1.0,Spice
2014,Kannur,Ginger,Whole Year,1727.24,20723.79,11.998,April-May,December-January,1.0,Spice
2014,Palakkad,Turmeric,Whole Year,2614.43,22807.07,8.724,April-May,January-February,1.0,Spice
2014,Malappuram,Turmeric,Whole Year,1947.02,17229.26,8.849,April-May,January-February,1.0,Spice
2014,Kozhikode,Turmeric,Whole Year,1808.74,16565.64,9.159,April-May,January-February,1.0,Spice
2014,Ernakulam,Turmeric,Whole Year,1447.35,11979.96,8.277,April-May,January-February,1.0,Spice
2014,Wayanad,Turmeric,Whole Year,1176.47,8829.21,7.505,April-May,January-February,1.0,Spice
2014,Kottayam,Rubber,Whole Year,106554.63,195803.93,1.838,Year-round tapping,Year-round tapping,1.0,Plantation
2014,Pathanamthitta,Rubber,Whole Year,95024.29,167833.75,1.766,Year-round tapping,Year-round tapping,1.0,Plantation
2014,Ernakulam,Rubber,Whole Year,78984.67,137388.08,1.739,Year-round tapping,Year-round tapping,1.0,Plantation
2014,Kollam,Rubber,Whole Year,73714.82,124170.56,1.684,Year-round tapping,Year-round tapping,1.0,Plantation
2014,Thiruvananthapuram,Rubber,Whole Year,64475.82,119807.9,1.858,Year-round tapping,Year-round tapping,1.0,Plantation
2014,Thrissur,Rubber,Whole Year,49243.92,89877.01,1.825,Year-round tapping,Year-round tapping,1.0,Plantation
2014,Thrissur,Banana,Whole Year,8103.02,281916.64,34.792,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2014,Ernakulam,Banana,Whole Year,6328.43,221025.24,34.926,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2014,Thiruvananthapuram,Banana,Whole Year,6018.07,252139.51,41.897,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2014,Kollam,Banana,Whole Year,5447.1,195247.69,35.844,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2014,Palakkad,Banana,Whole Year,4991.32,158363.18,31.728,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2014,Alappuzha,Banana,Whole Year,4757.14,176515.46,37.105,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2015,Alappuzha,Rice,Virippu,23389.91,69402.47,2.967,April-May,September-October,1.0,Food Crop
2015,Alappuzha,Rice,Mundakan,16854.7,47886.33,2.841,September-October,December-January,1.0,Food Crop
2015,Alappuzha,Rice,Puncha,6948.06,26129.98,3.761,December-January,March-April,1.0,Food Crop
2015,Thrissur,Rice,Virippu,16633.28,50815.13,3.055,April-May,September-October,1.0,Food Crop
2015,Thrissur,Rice,Mundakan,12311.04,37808.55,3.071,September-October,December-January,1.0,Food Crop
2015,Thrissur,Rice,Puncha,4842.95,15582.45,3.218,December-January,March-April,1.0,Food Crop
2015,Palakkad,Rice,Virippu,14203.27,47172.47,3.321,April-May,September-October,1.0,Food Crop
2015,Palakkad,Rice,Mundakan,10017.3,36030.06,3.597,September-October,December-January,1.0,Food Crop
2015,Palakkad,Rice,Puncha,4323.77,13479.57,3.118,December-January,March-April,1.0,Food Crop
2015,Ernakulam,Rice,Virippu,13008.45,37528.06,2.885,April-May,September-October,1.0,Food Crop
2015,Ernakulam,Rice,Mundakan,8849.51,31279.74,3.535,September-October,December-January,1.0,Food Crop
2015,Ernakulam,Rice,Puncha,3448.6,11198.51,3.247,December-January,March-April,1.0,Food Crop
2015,Kottayam,Rice,Virippu,10129.94,34443.29,3.4,April-May,September-October,1.0,Food Crop
2015,Kottayam,Rice,Mundakan,6567.07,18794.7,2.862,September-October,December-January,1.0,Food Crop
2015,Kottayam,Rice,Puncha,3078.29,10084.57,3.276,December-January,March-April,1.0,Food Crop
2015,Kollam,Rice,Virippu,9112.72,29968.92,3.289,April-May,September-October,1.0,Food Crop
2015,Kollam,Rice,Mundakan,6085.79,19836.38,3.259,September-October,December-January,1.0,Food Crop
2015,Kollam,Rice,Puncha,2739.56,8265.61,3.017,December-January,March-April,1.0,Food Crop
2015,Thiruvananthapuram,Rice,Virippu,8199.67,27233.56,3.321,April-May,September-October,1.0,Food Crop
2015,Thiruvananthapuram,Rice,Mundakan,4937.28,16629.15,3.368,September-October,December-January,1.0,Food Crop
2015,Thiruvananthapuram,Rice,Puncha,2140.35,7280.38,3.401,December-January,March-April,1.0,Food Crop
2015,Malappuram,Coconut,Whole Year,111082.63,778421572.31,7007.591,Year-round,Year-round,1.0,Plantation
2015,Kozhikode,Coconut,Whole Year,120539.41,933899417.89,7747.669,Year-round,Year-round,1.0,Plantation
2015,Kannur,Coconut,Whole Year,86411.55,746429515.09,8638.076,Year-round,Year-round,1.0,Plantation
2015,Thrissur,Coconut,Whole Year,78030.72,549941633.09,7047.758,Year-round,Year-round,1.0,Plantation
2015,Thiruvananthapuram,Coconut,Whole Year,67842.22,475608847.96,7010.514,Year-round,Year-round,1.0,Plantation
2015,Ernakulam,Coconut,Whole Year,64749.42,498874281.22,7704.691,Year-round,Year-round,1.0,Plantation
2015,Kollam,Coconut,Whole Year,55760.9,445881437.05,7996.31,Year-round,Year-round,1.0,Plantation
2015,Wayanad,Pepper,Whole Year,15009.75,5864.29,0.391,June-July,December-February,1.0,Spice
2015,Idukki,Pepper,Whole Year,17761.81,7569.46,0.426,June-July,December-February,1.0,Spice
2015,Kottayam,Pepper,Whole Year,12375.4,4034.38,0.326,June-July,December-February,1.0,Spice
2015,Pathanamthitta,Pepper,Whole Year,9464.55,3440.45,0.364,June-July,December-February,1.0,Spice
2015,Kozhikode,Pepper,Whole Year,7910.61,2926.86,0.37,June-July,December-February,1.0,Spice
2015,Palakkad,Pepper,Whole Year,6141.97,2137.17,0.348,June-July,December-February,1.0,Spice
2015,Idukki,Cardamom,Whole Year,81401.13,12876.53,0.158,May-June,October-December,1.0,Spice
2015,Wayanad,Cardamom,Whole Year,7821.39,1504.31,0.192,May-June,October-December,1.0,Spice
2015,Palakkad,Cardamom,Whole Year,2021.41,327.59,0.162,May-June,October-December,1.0,Spice
2015,Wayanad,Ginger,Whole Year,3530.31,45489.12,12.885,April-May,December-January,1.0,Spice
2015,Kozhikode,Ginger,Whole Year,2867.42,36283.56,12.654,April-May,December-January,1.0,Spice
2015,Palakkad,Ginger,Whole Year,2808.15,31892.23,11.357,April-May,December-January,1.0,Spice
2015,Malappuram,Ginger,Whole Year,2544.72,33236.08,13.061,April-May,December-January,1.0,Spice
2015,Idukki,Ginger,Whole Year,2108.31,28575.55,13.554,April-May,December-January,1.0,Spice
2015,Kannur,Ginger,Whole Year,1676.01,19378.32,11.562,April-May,December-January,1.0,Spice
2015,Palakkad,Turmeric,Whole Year,2564.38,22693.15,8.849,April-May,January-February,1.0,Spice
2015,Malappuram,Turmeric,Whole Year,2051.5,22812.44,11.12,April-May,January-February,1.0,Spice
2015,Kozhikode,Turmeric,Whole Year,1851.38,17166.34,9.272,April-May,January-February,1.0,Spice
2015,Ernakulam,Turmeric,Whole Year,1571.55,14054.29,8.943,April-May,January-February,1.0,Spice
2015,Wayanad,Turmeric,Whole Year,1181.08,10648.77,9.016,April-May,January-February,1.0,Spice
2015,Kottayam,Rubber,Whole Year,100942.67,178254.47,1.766,Year-round tapping,Year-round tapping,1.0,Plantation
2015,Pathanamthitta,Rubber,Whole Year,92694.52,167943.0,1.812,Year-round tapping,Year-round tapping,1.0,Plantation
2015,Ernakulam,Rubber,Whole Year,94837.3,145206.7,1.531,Year-round tapping,Year-round tapping,1.0,Plantation
2015,Kollam,Rubber,Whole Year,77573.48,121617.28,1.568,Year-round tapping,Year-round tapping,1.0,Plantation
2015,Thiruvananthapuram,Rubber,Whole Year,63466.22,124191.27,1.957,Year-round tapping,Year-round tapping,1.0,Plantation
2015,Thrissur,Rubber,Whole Year,45144.63,74254.1,1.645,Year-round tapping,Year-round tapping,1.0,Plantation
2015,Thrissur,Banana,Whole Year,7713.88,284664.28,36.903,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2015,Ernakulam,Banana,Whole Year,6744.37,240140.66,35.606,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2015,Thiruvananthapuram,Banana,Whole Year,6013.67,199506.67,33.176,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2015,Kollam,Banana,Whole Year,6089.58,223944.31,36.775,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2015,Palakkad,Banana,Whole Year,4493.71,159626.05,35.522,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2015,Alappuzha,Banana,Whole Year,4351.1,162673.69,37.387,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2016,Alappuzha,Rice,Virippu,16315.87,39060.94,2.394,April-May,September-October,0.755,Food Crop
2016,Alappuzha,Rice,Mundakan,11881.46,33798.21,2.845,September-October,December-January,0.785,Food Crop
2016,Alappuzha,Rice,Puncha,5666.13,14775.53,2.608,December-January,March-April,0.86,Food Crop
2016,Thrissur,Rice,Virippu,14771.49,41957.8,2.84,April-May,September-October,0.806,Food Crop
2016,Thrissur,Rice,Mundakan,11299.47,32643.69,2.889,September-October,December-January,0.834,Food Crop
2016,Thrissur,Rice,Puncha,4560.3,11809.42,2.59,December-January,March-April,0.902,Food Crop
2016,Palakkad,Rice,Virippu,12953.74,37190.27,2.871,April-May,September-October,0.845,Food Crop
2016,Palakkad,Rice,Mundakan,8860.67,22163.69,2.501,September-October,December-January,0.845,Food Crop
2016,Palakkad,Rice,Puncha,3686.5,8810.78,2.39,December-January,March-April,0.83,Food Crop
2016,Ernakulam,Rice,Virippu,10220.31,27453.09,2.686,April-May,September-October,0.759,Food Crop
2016,Ernakulam,Rice,Mundakan,7979.36,19224.93,2.409,September-October,December-January,0.851,Food Crop
2016,Ernakulam,Rice,Puncha,2994.12,8043.83,2.687,December-January,March-April,0.783,Food Crop
2016,Kottayam,Rice,Virippu,7628.2,17551.8,2.301,April-May,September-October,0.755,Food Crop
2016,Kottayam,Rice,Mundakan,6251.61,17480.94,2.796,September-October,December-January,0.865,Food Crop
2016,Kottayam,Rice,Puncha,2725.18,6612.87,2.427,December-January,March-April,0.842,Food Crop
2016,Kollam,Rice,Virippu,7700.66,20500.21,2.662,April-May,September-October,0.827,Food Crop
2016,Kollam,Rice,Mundakan,4882.34,11345.26,2.324,September-October,December-January,0.764,Food Crop
2016,Kollam,Rice,Puncha,2127.73,4947.29,2.325,December-January,March-April,0.755,Food Crop
2016,Thiruvananthapuram,Rice,Virippu,5631.27,14888.44,2.644,April-May,September-October,0.774,Food Crop
2016,Thiruvananthapuram,Rice,Mundakan,5090.13,16826.59,3.306,September-October,December-January,0.925,Food Crop
2016,Thiruvananthapuram,Rice,Puncha,1888.16,5117.82,2.71,December-January,March-April,0.806,Food Crop
2016,Malappuram,Coconut,Whole Year,98333.41,633949593.37,6446.94,Year-round,Year-round,0.911,Plantation
2016,Kozhikode,Coconut,Whole Year,94707.34,591074373.0,6241.062,Year-round,Year-round,0.824,Plantation
2016,Kannur,Coconut,Whole Year,75100.7,576306667.93,7673.786,Year-round,Year-round,0.936,Plantation
2016,Thrissur,Coconut,Whole Year,70339.76,516628696.36,7344.761,Year-round,Year-round,0.9,Plantation
2016,Thiruvananthapuram,Coconut,Whole Year,64718.78,461114518.71,7124.895,Year-round,Year-round,0.931,Plantation
2016,Ernakulam,Coconut,Whole Year,56364.33,344686642.81,6115.333,Year-round,Year-round,0.814,Plantation
2016,Kollam,Coconut,Whole Year,40874.39,246335858.11,6026.656,Year-round,Year-round,0.752,Plantation
2016,Wayanad,Pepper,Whole Year,14330.39,4666.21,0.326,June-July,December-February,0.94,Spice
2016,Idukki,Pepper,Whole Year,16559.58,5281.45,0.319,June-July,December-February,0.84,Spice
2016,Kottayam,Pepper,Whole Year,10080.15,2817.46,0.28,June-July,December-February,0.885,Spice
2016,Pathanamthitta,Pepper,Whole Year,9429.09,3156.21,0.335,June-July,December-February,0.908,Spice
2016,Kozhikode,Pepper,Whole Year,6088.36,1506.25,0.247,June-July,December-February,0.762,Spice
2016,Palakkad,Pepper,Whole Year,4983.67,1847.05,0.371,June-July,December-February,0.928,Spice
2016,Idukki,Cardamom,Whole Year,63449.25,8663.64,0.137,May-June,October-December,0.779,Spice
2016,Wayanad,Cardamom,Whole Year,6350.91,976.14,0.154,May-June,October-December,0.77,Spice
2016,Palakkad,Cardamom,Whole Year,1547.83,204.37,0.132,May-June,October-December,0.765,Spice
2016,Wayanad,Ginger,Whole Year,2756.92,28250.08,10.247,April-May,December-January,0.766,Spice
2016,Kozhikode,Ginger,Whole Year,2539.46,25705.95,10.123,April-May,December-January,0.913,Spice
2016,Palakkad,Ginger,Whole Year,2075.46,22055.02,10.627,April-May,December-January,0.767,Spice
2016,Malappuram,Ginger,Whole Year,2119.56,24729.38,11.667,April-May,December-January,0.835,Spice
2016,Idukki,Ginger,Whole Year,1661.96,17521.67,10.543,April-May,December-January,0.844,Spice
2016,Kannur,Ginger,Whole Year,1644.69,17263.13,10.496,April-May,December-January,0.899,Spice
2016,Palakkad,Turmeric,Whole Year,2113.24,14924.0,7.062,April-May,January-February,0.825,Spice
2016,Malappuram,Turmeric,Whole Year,1644.29,10750.81,6.538,April-May,January-February,0.795,Spice
2016,Kozhikode,Turmeric,Whole Year,1713.41,14902.32,8.697,April-May,January-February,0.949,Spice
2016,Ernakulam,Turmeric,Whole Year,1422.71,10708.24,7.527,April-May,January-February,0.944,Spice
2016,Wayanad,Turmeric,Whole Year,1188.39,9273.46,7.803,April-May,January-February,0.889,Spice
2016,Kottayam,Rubber,Whole Year,100819.8,147657.3,1.465,Year-round tapping,Year-round tapping,0.867,Plantation
2016,Pathanamthitta,Rubber,Whole Year,82571.97,140052.45,1.696,Year-round tapping,Year-round tapping,0.874,Plantation
2016,Ernakulam,Rubber,Whole Year,68625.29,99108.12,1.444,Year-round tapping,Year-round tapping,0.843,Plantation
2016,Kollam,Rubber,Whole Year,60380.41,71154.56,1.178,Year-round tapping,Year-round tapping,0.766,Plantation
2016,Thiruvananthapuram,Rubber,Whole Year,53675.65,90217.03,1.681,Year-round tapping,Year-round tapping,0.812,Plantation
2016,Thrissur,Rubber,Whole Year,36219.51,54977.74,1.518,Year-round tapping,Year-round tapping,0.783,Plantation
2016,Thrissur,Banana,Whole Year,6997.78,262989.14,37.582,"April-May, Sep-Oct",Year-round,0.937,Food Crop
2016,Ernakulam,Banana,Whole Year,6361.28,198491.54,31.203,"April-May, Sep-Oct",Year-round,0.912,Food Crop
2016,Thiruvananthapuram,Banana,Whole Year,5178.75,189634.77,36.618,"April-May, Sep-Oct",Year-round,0.944,Food Crop
2016,Kollam,Banana,Whole Year,4704.52,142026.22,30.189,"April-May, Sep-Oct",Year-round,0.844,Food Crop
2016,Palakkad,Banana,Whole Year,3502.93,88858.79,25.367,"April-May, Sep-Oct",Year-round,0.761,Food Crop
2016,Alappuzha,Banana,Whole Year,4330.19,147452.49,34.052,"April-May, Sep-Oct",Year-round,0.95,Food Crop
2017,Alappuzha,Rice,Virippu,25361.87,91800.56,3.62,April-May,September-October,1.127,Food Crop
2017,Alappuzha,Rice,Mundakan,16478.91,48879.73,2.966,September-October,December-January,1.063,Food Crop
2017,Alappuzha,Rice,Puncha,7285.39,26041.33,3.574,December-January,March-April,1.073,Food Crop
2017,Thrissur,Rice,Virippu,20009.3,78097.62,3.903,April-May,September-October,1.086,Food Crop
2017,Thrissur,Rice,Mundakan,13724.19,45500.28,3.315,September-October,December-January,1.102,Food Crop
2017,Thrissur,Rice,Puncha,5994.12,24477.12,4.084,December-January,March-April,1.135,Food Crop
2017,Palakkad,Rice,Virippu,18823.31,78149.85,4.152,April-May,September-October,1.138,Food Crop
2017,Palakkad,Rice,Mundakan,10491.19,34586.1,3.297,September-October,December-January,1.053,Food Crop
2017,Palakkad,Rice,Puncha,5204.53,20702.9,3.978,December-January,March-April,1.12,Food Crop
2017,Ernakulam,Rice,Virippu,12858.2,42078.65,3.273,April-May,September-October,1.051,Food Crop
2017,Ernakulam,Rice,Mundakan,10035.09,30056.19,2.995,September-October,December-January,1.089,Food Crop
2017,Ernakulam,Rice,Puncha,4248.33,14586.09,3.433,December-January,March-April,1.085,Food Crop
2017,Kottayam,Rice,Virippu,11715.07,41091.33,3.508,April-May,September-October,1.09,Food Crop
2017,Kottayam,Rice,Mundakan,8408.0,31620.63,3.761,September-October,December-January,1.145,Food Crop
2017,Kottayam,Rice,Puncha,3007.73,10500.99,3.491,December-January,March-April,1.096,Food Crop
2017,Kollam,Rice,Virippu,9742.86,34849.72,3.577,April-May,September-October,1.083,Food Crop
2017,Kollam,Rice,Mundakan,6228.22,22207.26,3.566,September-October,December-January,1.058,Food Crop
2017,Kollam,Rice,Puncha,2767.09,9978.16,3.606,December-January,March-April,1.085,Food Crop
2017,Thiruvananthapuram,Rice,Virippu,8349.42,32117.57,3.847,April-May,September-October,1.117,Food Crop
2017,Thiruvananthapuram,Rice,Mundakan,5410.36,17555.1,3.245,September-October,December-January,1.054,Food Crop
2017,Thiruvananthapuram,Rice,Puncha,2338.63,7483.46,3.2,December-January,March-April,1.068,Food Crop
2017,Malappuram,Coconut,Whole Year,105895.16,849633997.76,8023.351,Year-round,Year-round,1.086,Plantation
2017,Kozhikode,Coconut,Whole Year,133108.53,1055122468.89,7926.783,Year-round,Year-round,1.054,Plantation
2017,Kannur,Coconut,Whole Year,90088.38,783872408.72,8701.149,Year-round,Year-round,1.058,Plantation
2017,Thrissur,Coconut,Whole Year,88817.34,739826347.37,8329.751,Year-round,Year-round,1.131,Plantation
2017,Thiruvananthapuram,Coconut,Whole Year,73236.67,615508760.8,8404.379,Year-round,Year-round,1.071,Plantation
2017,Ernakulam,Coconut,Whole Year,71274.78,484888733.18,6803.09,Year-round,Year-round,1.112,Plantation
2017,Kollam,Coconut,Whole Year,59923.22,416840759.86,6956.248,Year-round,Year-round,1.125,Plantation
2017,Wayanad,Pepper,Whole Year,16993.68,6712.6,0.395,June-July,December-February,1.101,Spice
2017,Idukki,Pepper,Whole Year,18747.4,7228.92,0.386,June-July,December-February,1.095,Spice
2017,Kottayam,Pepper,Whole Year,11885.08,4552.68,0.383,June-July,December-February,1.077,Spice
2017,Pathanamthitta,Pepper,Whole Year,10720.94,4045.28,0.377,June-July,December-February,1.082,Spice
2017,Kozhikode,Pepper,Whole Year,8221.15,2791.34,0.34,June-July,December-February,1.062,Spice
2017,Palakkad,Pepper,Whole Year,6780.65,2846.32,0.42,June-July,December-February,1.118,Spice
2017,Idukki,Cardamom,Whole Year,89952.95,19171.36,0.213,May-June,October-December,1.059,Spice
2017,Wayanad,Cardamom,Whole Year,10064.37,2202.55,0.219,May-June,October-December,1.125,Spice
2017,Palakkad,Cardamom,Whole Year,2044.9,390.89,0.191,May-June,October-December,1.078,Spice
2017,Wayanad,Ginger,Whole Year,4145.18,51352.93,12.389,April-May,December-January,1.107,Spice
2017,Kozhikode,Ginger,Whole Year,2958.13,40967.3,13.849,April-May,December-January,1.06,Spice
2017,Palakkad,Ginger,Whole Year,2916.62,36920.01,12.659,April-May,December-January,1.066,Spice
2017,Malappuram,Ginger,Whole Year,2589.31,32158.03,12.42,April-May,December-January,1.067,Spice
2017,Idukki,Ginger,Whole Year,2009.1,30415.97,15.139,April-May,December-January,1.148,Spice
2017,Kannur,Ginger,Whole Year,2039.84,27121.52,13.296,April-May,December-January,1.147,Spice
2017,Palakkad,Turmeric,Whole Year,2721.39,25429.62,9.344,April-May,January-February,1.076,Spice
2017,Malappuram,Turmeric,Whole Year,2343.13,20983.21,8.955,April-May,January-February,1.143,Spice
2017,Kozhikode,Turmeric,Whole Year,2138.64,22135.38,10.35,April-May,January-February,1.078,Spice
2017,Ernakulam,Turmeric,Whole Year,1569.76,15101.25,9.62,April-May,January-February,1.082,Spice
2017,Wayanad,Turmeric,Whole Year,1307.12,9318.24,7.129,April-May,January-February,1.074,Spice
2017,Kottayam,Rubber,Whole Year,114751.7,206720.85,1.801,Year-round tapping,Year-round tapping,1.079,Plantation
2017,Pathanamthitta,Rubber,Whole Year,98379.02,198621.63,2.019,Year-round tapping,Year-round tapping,1.098,Plantation
2017,Ernakulam,Rubber,Whole Year,89109.07,174474.24,1.958,Year-round tapping,Year-round tapping,1.084,Plantation
2017,Kollam,Rubber,Whole Year,81337.18,173661.49,2.135,Year-round tapping,Year-round tapping,1.118,Plantation
2017,Thiruvananthapuram,Rubber,Whole Year,73204.4,161242.81,2.203,Year-round tapping,Year-round tapping,1.097,Plantation
2017,Thrissur,Rubber,Whole Year,46880.45,88480.27,1.887,Year-round tapping,Year-round tapping,1.143,Plantation
2017,Thrissur,Banana,Whole Year,9320.48,355108.46,38.1,"April-May, Sep-Oct",Year-round,1.144,Food Crop
2017,Ernakulam,Banana,Whole Year,8133.02,363663.35,44.714,"April-May, Sep-Oct",Year-round,1.134,Food Crop
2017,Thiruvananthapuram,Banana,Whole Year,6529.36,236503.49,36.222,"April-May, Sep-Oct",Year-round,1.07,Food Crop
2017,Kollam,Banana,Whole Year,6123.92,236323.43,38.59,"April-May, Sep-Oct",Year-round,1.131,Food Crop
2017,Palakkad,Banana,Whole Year,5508.08,244096.68,44.316,"April-May, Sep-Oct",Year-round,1.086,Food Crop
2017,Alappuzha,Banana,Whole Year,5023.67,214062.39,42.611,"April-May, Sep-Oct",Year-round,1.132,Food Crop
2018,Alappuzha,Rice,Virippu,17025.22,42200.09,2.479,April-May,September-October,0.843,Food Crop
2018,Alappuzha,Rice,Mundakan,14100.43,35787.85,2.538,September-October,December-January,0.851,Food Crop
2018,Alappuzha,Rice,Puncha,5671.98,14743.27,2.599,December-January,March-April,0.827,Food Crop
2018,Thrissur,Rice,Virippu,15992.97,45115.0,2.821,April-May,September-October,0.875,Food Crop
2018,Thrissur,Rice,Mundakan,8824.27,23974.56,2.717,September-October,December-January,0.778,Food Crop
2018,Thrissur,Rice,Puncha,4612.18,13905.6,3.015,December-January,March-April,0.857,Food Crop
2018,Palakkad,Rice,Virippu,11811.46,30079.75,2.547,April-May,September-October,0.78,Food Crop
2018,Palakkad,Rice,Mundakan,8922.3,23984.4,2.688,September-October,December-January,0.899,Food Crop
2018,Palakkad,Rice,Puncha,4075.75,11320.86,2.778,December-January,March-April,0.902,Food Crop
2018,Ernakulam,Rice,Virippu,11229.56,35032.46,3.12,April-May,September-October,0.914,Food Crop
2018,Ernakulam,Rice,Mundakan,7850.39,21057.81,2.682,September-October,December-January,0.909,Food Crop
2018,Ernakulam,Rice,Puncha,3282.51,8979.95,2.736,December-January,March-April,0.894,Food Crop
2018,Kottayam,Rice,Virippu,9274.35,29238.07,3.153,April-May,September-October,0.889,Food Crop
2018,Kottayam,Rice,Mundakan,5266.02,14113.79,2.68,September-October,December-January,0.819,Food Crop
2018,Kottayam,Rice,Puncha,2302.44,6949.5,3.018,December-January,March-April,0.842,Food Crop
2018,Kollam,Rice,Virippu,7921.48,26787.74,3.382,April-May,September-October,0.872,Food Crop
2018,Kollam,Rice,Mundakan,5633.43,16962.76,3.011,September-October,December-January,0.889,Food Crop
2018,Kollam,Rice,Puncha,2130.22,5508.68,2.586,December-January,March-April,0.781,Food Crop
2018,Thiruvananthapuram,Rice,Virippu,6850.38,20270.15,2.959,April-May,September-October,0.835,Food Crop
